Marka;Suma;Liczba_sztuk;Srednia_cena
Alfa Romeo;273877.0;2;136938.5
Ford;264875.0;4;66218.75
Fiat;159655.0;2;79827.5
Opel;113249.0;3;37749.67
Audi;274292.0;3;91430.67
Chevrolet;229956.0;3;76652.0
Volswagen;147446.0;1;147446.0
Kia;299577.0;4;74894.25
Daewoo;123105.0;3;41035.0
Volvo;141384.0;2;70692.0
BMW;217058.0;3;72352.67
Seat;318824.0;4;79706.0
Mercedes;217300.0;3;72433.33
Chrysler;275631.0;3;91877.0
Mazda;84250.0;1;84250.0
Peugeot;82399.0;3;27466.33
Toyota;122842.0;3;40947.33
Honda;125873.0;1;125873.0
Skoda;16364.0;1;16364.0
