Marka;Suma;Liczba_sztuk;Srednia_cena
Daewoo;325015.0;4;81253.75
Honda;162833.0;3;54277.67
Dacia;309180.0;4;77295.0
Renault;87551.0;2;43775.5
Toyota;105142.0;1;105142.0
Ford;367243.0;3;122414.33
Volswagen;323273.0;4;80818.25
Chrysler;124478.0;3;41492.67
Skoda;371677.0;4;92919.25
Mazda;319380.0;4;79845.0
Seat;342921.0;3;114307.0
Mercedes;159525.0;3;53175.0
Kia;98983.0;2;49491.5
Opel;59665.0;1;59665.0
BMW;191042.0;3;63680.67
Chevrolet;275609.0;2;137804.5
Peugeot;105545.0;1;105545.0
Audi;30492.0;1;30492.0
Aston Martin;145531.0;1;145531.0
