Marka;Suma;Liczba_sztuk;Srednia_cena
Honda;270188.0;4;67547.0
Toyota;224257.0;3;74752.33
Mercedes;270037.0;3;90012.33
Peugeot;437883.0;4;109470.75
Alfa Romeo;261704.0;3;87234.67
Opel;273785.0;4;68446.25
Skoda;299770.0;4;74942.5
Citroen;150243.0;2;75121.5
Kia;133811.0;2;66905.5
BMW;49304.0;1;49304.0
Seat;144724.0;3;48241.33
Daewoo;14536.0;1;14536.0
Mazda;192577.0;2;96288.5
Fiat;184361.0;3;61453.67
Renault;130123.0;1;130123.0
Audi;121761.0;1;121761.0
Volswagen;112174.0;1;112174.0
Aston Martin;39312.0;1;39312.0
Dacia;161510.0;2;80755.0
Chrysler;76932.0;1;76932.0
Chevrolet;142009.0;2;71004.5
