Marka;Suma;Liczba_sztuk;Srednia_cena
Toyota;354841.0;5;70968.2
Fiat;128358.0;1;128358.0
Dacia;363775.0;3;121258.33
Opel;252686.0;3;84228.67
Aston Martin;256132.0;3;85377.33
Citroen;144715.0;3;48238.33
Volvo;660026.0;7;94289.43
Skoda;190512.0;3;63504.0
Chrysler;72237.0;1;72237.0
Kia;141266.0;2;70633.0
Renault;12321.0;1;12321.0
Ford;100833.0;3;33611.0
Mazda;507229.0;4;126807.25
Alfa Romeo;225305.0;2;112652.5
Audi;221523.0;2;110761.5
Seat;388092.0;4;97023.0
Mercedes;138454.0;2;69227.0
Peugeot;26282.0;1;26282.0
Volswagen;154626.0;2;77313.0
Daewoo;60497.0;1;60497.0
Honda;83338.0;1;83338.0
