Marka;Suma;Liczba_sztuk;Srednia_cena
Chrysler;599601.0;5;119920.2
Volvo;430676.0;5;86135.2
Peugeot;344962.0;4;86240.5
Mercedes;56283.0;2;28141.5
Audi;167096.0;2;83548.0
Honda;199786.0;2;99893.0
Dacia;87926.0;2;43963.0
Renault;188636.0;2;94318.0
Volswagen;172326.0;3;57442.0
Ford;129035.0;2;64517.5
Opel;103507.0;2;51753.5
Chevrolet;292561.0;5;58512.2
BMW;149389.0;2;74694.5
Daewoo;341785.0;4;85446.25
Alfa Romeo;238994.0;2;119497.0
Fiat;113399.0;1;113399.0
Kia;40021.0;1;40021.0
Toyota;217737.0;2;108868.5
Seat;132189.0;1;132189.0
Aston Martin;236303.0;2;118151.5
