Marka;Suma;Liczba_sztuk;Srednia_cena
Opel;494869.0;5;98973.8
Chevrolet;55430.0;2;27715.0
Mazda;431236.0;6;71872.67
Citroen;197856.0;3;65952.0
BMW;361785.0;4;90446.25
Kia;145178.0;1;145178.0
Volswagen;244734.0;3;81578.0
Volvo;57786.0;1;57786.0
Audi;116862.0;1;116862.0
Daewoo;335182.0;3;111727.33
Ford;98659.0;1;98659.0
Alfa Romeo;223792.0;2;111896.0
Peugeot;80066.0;2;40033.0
Aston Martin;124666.0;1;124666.0
Mercedes;33942.0;1;33942.0
Toyota;133151.0;1;133151.0
Skoda;60563.0;1;60563.0
Chrysler;139590.0;1;139590.0
Renault;23619.0;1;23619.0
Seat;69787.0;1;69787.0
Honda;51525.0;1;51525.0
