Marka;Suma;Liczba_sztuk;Srednia_cena
Chrysler;184005.0;3;61335.0
Kia;298608.0;3;99536.0
Aston Martin;154589.0;2;77294.5
BMW;97625.0;2;48812.5
Skoda;349158.0;4;87289.5
Daewoo;329620.0;4;82405.0
Volswagen;69057.0;1;69057.0
Opel;40553.0;2;20276.5
Renault;308981.0;4;77245.25
Mercedes;376735.0;4;94183.75
Volvo;169833.0;2;84916.5
Chevrolet;321985.0;3;107328.33
Fiat;38327.0;1;38327.0
Honda;88339.0;2;44169.5
Alfa Romeo;164240.0;2;82120.0
Toyota;265289.0;2;132644.5
Peugeot;69328.0;1;69328.0
Dacia;123782.0;1;123782.0
Mazda;150069.0;2;75034.5
Audi;146348.0;1;146348.0
Citroen;51432.0;1;51432.0
