Marka;Suma;Liczba_sztuk;Srednia_cena
Dacia;294352.0;4;73588.0
Alfa Romeo;391177.0;4;97794.25
Fiat;183352.0;2;91676.0
Daewoo;270083.0;4;67520.75
Chevrolet;509320.0;4;127330.0
Aston Martin;135691.0;2;67845.5
Peugeot;107996.0;1;107996.0
Kia;621929.0;8;77741.12
Ford;241749.0;3;80583.0
Chrysler;157462.0;2;78731.0
Honda;85587.0;1;85587.0
BMW;148306.0;1;148306.0
Seat;109867.0;2;54933.5
Renault;100718.0;1;100718.0
Volswagen;154183.0;2;77091.5
Mercedes;141728.0;3;47242.67
Mazda;34552.0;1;34552.0
Audi;42772.0;1;42772.0
Skoda;19795.0;1;19795.0
