Marka;Suma;Liczba_sztuk;Srednia_cena
Toyota;406884.0;4;101721.0
Mazda;324889.0;3;108296.33
Skoda;537614.0;7;76802.0
Dacia;226706.0;2;113353.0
Fiat;180232.0;3;60077.33
BMW;401665.0;4;100416.25
Seat;204116.0;3;68038.67
Audi;402180.0;4;100545.0
Citroen;238337.0;3;79445.67
Kia;155402.0;2;77701.0
Chrysler;127878.0;1;127878.0
Opel;220827.0;3;73609.0
Mercedes;207220.0;2;103610.0
Honda;46733.0;1;46733.0
Ford;218212.0;3;72737.33
Volvo;77119.0;1;77119.0
Peugeot;136965.0;2;68482.5
Alfa Romeo;62175.0;2;31087.5
Chevrolet;168104.0;2;84052.0
Aston Martin;53833.0;1;53833.0
Volswagen;10029.0;1;10029.0
