Marka;Suma;Liczba_sztuk;Srednia_cena
Honda;337875.0;3;112625.0
Kia;319283.0;4;79820.75
Volswagen;247782.0;3;82594.0
Volvo;296104.0;4;74026.0
Chrysler;343342.0;4;85835.5
Fiat;87604.0;2;43802.0
Mazda;273621.0;3;91207.0
Seat;333400.0;3;111133.33
Alfa Romeo;328680.0;3;109560.0
Audi;205686.0;4;51421.5
Chevrolet;161902.0;3;53967.33
BMW;130490.0;2;65245.0
Opel;269154.0;3;89718.0
Toyota;97795.0;3;32598.33
Skoda;59484.0;1;59484.0
Renault;278680.0;3;92893.33
Peugeot;180651.0;2;90325.5
Ford;55000.0;1;55000.0
Citroen;73724.0;1;73724.0
Daewoo;294218.0;4;73554.5
Dacia;126826.0;1;126826.0
Aston Martin;121765.0;1;121765.0
Mercedes;66374.0;1;66374.0
