Marka;Suma;Liczba_sztuk;Srednia_cena
Fiat;262946.0;3;87648.67
Kia;404910.0;4;101227.5
Dacia;182890.0;3;60963.33
Chrysler;345102.0;5;69020.4
Volswagen;120485.0;3;40161.67
Chevrolet;272953.0;2;136476.5
Renault;237816.0;2;118908.0
Volvo;39610.0;1;39610.0
Honda;115464.0;2;57732.0
Opel;145658.0;2;72829.0
Citroen;141948.0;2;70974.0
Daewoo;277858.0;3;92619.33
Audi;236867.0;3;78955.67
Alfa Romeo;297053.0;5;59410.6
Toyota;120755.0;1;120755.0
Aston Martin;124994.0;1;124994.0
Peugeot;122512.0;1;122512.0
Skoda;253212.0;4;63303.0
Seat;92483.0;2;46241.5
BMW;161395.0;2;80697.5
