Marka;Suma;Liczba_sztuk;Srednia_cena
Citroen;158509.0;2;79254.5
Volswagen;48246.0;1;48246.0
BMW;230401.0;3;76800.33
Seat;241710.0;3;80570.0
Mazda;213258.0;2;106629.0
Volvo;149561.0;1;149561.0
Chevrolet;16540.0;1;16540.0
Alfa Romeo;41139.0;2;20569.5
Aston Martin;265816.0;2;132908.0
Fiat;569506.0;5;113901.2
Renault;302384.0;3;100794.67
Mercedes;105463.0;2;52731.5
Skoda;106917.0;1;106917.0
Honda;222317.0;4;55579.25
Audi;17608.0;1;17608.0
Chrysler;19900.0;1;19900.0
Opel;181188.0;3;60396.0
Peugeot;95655.0;1;95655.0
Dacia;232975.0;2;116487.5
Toyota;174561.0;2;87280.5
Ford;48489.0;1;48489.0
Daewoo;126665.0;1;126665.0
