Marka;Suma;Liczba_sztuk;Srednia_cena
Seat;132490.0;2;66245.0
Ford;59420.0;1;59420.0
Skoda;270443.0;3;90147.67
Volswagen;356303.0;3;118767.67
Peugeot;77093.0;2;38546.5
Citroen;227882.0;3;75960.67
Fiat;143634.0;3;47878.0
Mercedes;206042.0;2;103021.0
Chrysler;87294.0;2;43647.0
Renault;105142.0;1;105142.0
Aston Martin;189382.0;3;63127.33
Alfa Romeo;274141.0;3;91380.33
Dacia;120568.0;2;60284.0
BMW;214510.0;2;107255.0
Opel;360091.0;6;60015.17
Daewoo;183278.0;2;91639.0
Chevrolet;69067.0;1;69067.0
Mazda;16461.0;1;16461.0
Volvo;128281.0;1;128281.0
Toyota;201888.0;2;100944.0
Audi;42585.0;1;42585.0
Kia;37929.0;1;37929.0
