Marka;Suma;Liczba_sztuk;Srednia_cena
Chevrolet;282830.0;3;94276.67
Alfa Romeo;316700.0;5;63340.0
Ford;489208.0;4;122302.0
Audi;100448.0;3;33482.67
Toyota;160948.0;3;53649.33
Skoda;76862.0;1;76862.0
Fiat;372626.0;5;74525.2
Renault;108401.0;2;54200.5
Kia;170125.0;3;56708.33
Daewoo;124000.0;2;62000.0
Chrysler;97624.0;1;97624.0
Citroen;197345.0;2;98672.5
Mazda;80055.0;1;80055.0
Volvo;137768.0;3;45922.67
Opel;203666.0;2;101833.0
Mercedes;103581.0;1;103581.0
Seat;89909.0;1;89909.0
Volswagen;96848.0;2;48424.0
Aston Martin;81619.0;2;40809.5
