Marka;Suma;Liczba_sztuk;Srednia_cena
Mercedes;247438.0;3;82479.33
BMW;156778.0;4;39194.5
Renault;197640.0;3;65880.0
Volvo;163506.0;2;81753.0
Peugeot;189972.0;2;94986.0
Citroen;314045.0;3;104681.67
Volswagen;233114.0;6;38852.33
Toyota;252057.0;3;84019.0
Chrysler;208681.0;2;104340.5
Chevrolet;95136.0;2;47568.0
Fiat;160077.0;2;80038.5
Aston Martin;96407.0;1;96407.0
Dacia;145503.0;2;72751.5
Audi;21915.0;1;21915.0
Ford;134874.0;1;134874.0
Kia;53215.0;1;53215.0
Daewoo;61830.0;3;20610.0
Mazda;472054.0;5;94410.8
Alfa Romeo;88471.0;1;88471.0
